s.no,borrower,financial dob,nonfinancial dob,annual_income,profession,marital status,institute_name,course_name,loan amount,course_cost,dpd_days,current_status,current city,current state,current pincode,permanent city,permanent state,interest rate,enach activated,imdb success,protection_type_name,cibilscore,lender_name,company name,disbursal date,work experience,loan category,loan type,sector,residence type,tenure,emi_amount
284,Rebecca Lambert,1976-10-21,1966-12-21,137048,Public librarian,Married,Khan-Hernandez,item,32043,16977,240,Fully Disbursed,Meganfurt,Alaska,98554,Millershire,New York,12.97,False,No,executive,800,"Kirk, Harper and Brown",Garrett PLC,1991-11-18,38,Education loan,Certification,put,Owned,21,4136
285,Crystal Ward,1991-12-21,1987-12-15,167790,"Therapist, nutritional",Divorced,"Keller, Wood and Walker",recognize,28048,11480,263,Fully Disbursed,New Kerri,Delaware,96832,Thompsonstad,South Dakota,18.03,True,No,man,770,Meyer-Jensen,Fowler-Robinson,1990-05-17,37,Education loan,Certification,training,Owned,24,1879
286,Samantha Robinson,1978-09-28,1962-09-10,85217,Garment/textile technologist,Married,Bishop LLC,less,26309,37290,127,EMI Running,Ryanhaven,New Jersey,17631,East Brittanyport,California,5.36,False,No,kind,528,Luna-Summers,Moyer Group,2001-07-01,40,Education loan,College education,space,Owned,27,3352
287,Randall Smith,1979-01-05,1958-08-07,154777,"Designer, industrial/product",Married,Harmon-Williams,defense,7968,39841,36,Fully Disbursed,South Samanthaborough,South Carolina,57654,North Sherrymouth,Indiana,17.23,True,Yes,cost,544,Lucas-Jackson,Faulkner LLC,1985-07-08,29,Education loan,College education,instead,Owned,8,3590
288,Michelle Vasquez,2003-01-18,1974-06-26,110072,Research scientist (physical sciences),Married,Gilmore and Sons,activity,36265,14746,186,EMI Running,Cristianville,Maine,27432,Lake Elizabeth,Wyoming,9.86,False,No,military,742,"Scott, Simpson and Munoz",Hayes-Walton,2016-10-03,25,Education loan,College education,off,Owned,9,3595
289,Russell Mckay,1969-11-20,2003-09-19,113442,Probation officer,Married,Hoffman-Jacobs,garden,9678,32649,169,EMI Running,New Alex,Wyoming,91559,Lake Edwardton,Maine,11.04,True,No,exactly,816,Yoder-Miller,Klein-Alexander,2011-08-24,15,Education loan,School Education,agree,Rented,12,2678
290,David Rogers,1978-10-06,1979-01-17,20842,Building services engineer,Married,"Stout, Gilbert and Morris",total,18128,4307,227,Fully Disbursed,East Stephanieburgh,Louisiana,43690,Vasquezmouth,Massachusetts,14.53,True,No,visit,516,Mccarty-Brown,Jarvis-Love,2017-08-30,35,Education loan,School Education,stay,Rented,11,2031
291,Patrick Allen,1980-12-18,1980-06-19,183622,Intelligence analyst,Single,"Rice, Oconnell and Gonzalez",necessary,35094,21808,131,EMI Running,West Thomasland,Louisiana,33151,Jerrybury,Rhode Island,6.6,False,No,scientist,859,"Trujillo, Terry and Lopez",Hunter-Allen,2011-09-17,32,Education loan,School Education,test,Owned,11,2603
292,Kerry Vargas,1981-09-27,1966-05-30,35040,Chief Executive Officer,Married,"Taylor, Hartman and Henry",situation,6327,25054,146,Fully Disbursed,East Ryan,Kansas,55288,Michaelmouth,Nevada,14.05,False,Yes,cut,834,Jackson-Hebert,"Welch, Ward and Mclaughlin",2018-03-11,15,Education loan,Certification,PM,Rented,23,4821
293,Jennifer Liu,1972-06-12,2003-04-22,86058,Operations geologist,Single,Keller Group,mother,47034,24699,177,Fully Disbursed,Jennifermouth,Iowa,60142,Ramseyborough,Ohio,18.32,True,No,recognize,583,Norman-Cooper,"Jones, Olson and Lloyd",1981-04-22,25,Education loan,Certification,mean,Owned,22,2745
294,Kenneth Thomas,1981-10-11,2003-03-08,77527,Pharmacologist,Married,Hart Inc,great,41686,16849,25,EMI Running,North Josephberg,Texas,27198,Hortonhaven,North Dakota,10.65,False,Yes,left,866,Medina-Noble,"Aguirre, Wilson and Brown",1998-09-05,11,Education loan,School Education,born,Owned,6,2127
295,Henry Evans,1979-12-09,1999-11-26,142392,Education administrator,Single,"Alvarez, Doyle and Goodwin",event,19334,12727,15,EMI Running,Dukeburgh,Iowa,54605,Howellborough,Mississippi,9.12,True,Yes,population,346,Hardy-Holmes,"Mcneil, Hernandez and Johnson",2008-11-25,0,Education loan,School Education,face,Rented,3,1733
296,Susan Cruz,1964-05-09,1960-09-24,133429,Theme park manager,Married,Kaufman-Johnson,reason,36139,36940,259,Fully Disbursed,Colonburgh,Minnesota,31970,Mccormickside,Virginia,9.39,True,No,laugh,653,"Patel, Lindsey and Green","Barnes, Smith and Morales",2003-10-06,13,Education loan,School Education,power,Rented,11,1296
297,Laura Neal,2004-02-23,1972-05-10,151713,Osteopath,Divorced,Smith and Sons,international,36697,12543,110,Fully Disbursed,Lake Kevin,Virginia,55785,East Jenniferstad,Ohio,5.65,True,No,country,547,Leblanc LLC,"Rogers, Nichols and Hawkins",2018-01-31,37,Education loan,Certification,region,Owned,8,1295
298,Melanie Lopez,1965-01-08,1967-08-19,35734,"Scientist, research (physical sciences)",Married,Garcia-Jones,officer,8610,27110,49,Fully Disbursed,Phillipsstad,Pennsylvania,99621,East Sarahburgh,Nebraska,15.94,True,No,same,684,"Costa, Gray and Miller",Norton-Gomez,1983-06-24,20,Education loan,Certification,talk,Rented,2,4586
299,Scott Potter,2004-06-16,1985-11-09,54630,Sport and exercise psychologist,Married,"Johnson, Anderson and Douglas",everything,28033,39085,134,EMI Running,West Maryville,Minnesota,14813,Jenniferbury,Oklahoma,14.96,True,Yes,must,836,Morris Inc,"Hayes, Terry and Moore",1989-07-05,11,Education loan,College education,race,Owned,1,2152
300,Michael Richardson,1979-08-15,1980-07-24,80538,Broadcast presenter,Married,Fry and Sons,today,12608,35851,328,Fully Disbursed,Ryanville,New Jersey,09113,Lake Joyce,Idaho,11.16,False,Yes,bed,734,"Woodward, Cervantes and Smith",Ramirez-Barber,2004-09-30,2,Education loan,College education,day,Owned,25,3576
301,Jonathan Novak,1990-09-18,1962-08-02,101517,English as a foreign language teacher,Married,Harris-Merritt,remember,28259,8776,131,Fully Disbursed,Estradafort,Vermont,23379,Thomaston,Nebraska,15.69,False,No,standard,428,Hopkins-Smith,Hill and Sons,1994-07-22,6,Education loan,College education,upon,Owned,25,4457
302,Rhonda Gonzalez,1963-06-28,1973-01-23,98446,Television floor manager,Single,Boyd Group,break,5769,7648,185,EMI Running,Lake Yvonnemouth,Rhode Island,34576,New Erinchester,Florida,14.14,False,Yes,since,892,Barnes Inc,Ramirez PLC,1997-03-15,11,Education loan,Certification,know,Rented,16,4612
303,Jonathan Johnson,1972-10-31,1983-11-14,174517,"Therapist, horticultural",Single,Brooks-George,off,32618,23921,13,EMI Running,West Robertborough,Wisconsin,81887,South Markburgh,Texas,16.27,True,No,lawyer,733,Benitez-Warren,"Stephens, Lane and Montoya",1973-03-09,36,Education loan,College education,maybe,Rented,1,3242
304,Cynthia Ramirez,1988-01-12,1986-07-16,63722,Production engineer,Single,Ayala-Gomez,your,36361,26101,310,EMI Running,Jacobbury,Idaho,78024,Michaelton,Maine,15.62,False,No,leave,575,Ortiz-Potter,Richards-Williamson,1994-02-09,9,Education loan,Certification,involve,Owned,20,3303
305,Isabel Henry,1970-08-04,1986-08-04,41381,"Psychotherapist, dance movement",Single,"Rogers, Johnson and Huffman",its,26558,10137,348,EMI Running,North Richard,Mississippi,02522,West Emily,Oklahoma,13.0,False,No,tend,748,Espinoza-Parsons,"Harris, Burns and Barajas",2011-08-10,1,Education loan,College education,Mrs,Rented,21,2659
306,Dr. Austin Guzman DDS,1970-06-03,1964-05-21,114685,Energy engineer,Single,Johnson-Phillips,ten,44708,18956,53,EMI Running,New Deborah,New York,79729,Port Amanda,South Carolina,16.28,False,No,commercial,447,"Lambert, Adams and Thomas","Carroll, Sandoval and Nguyen",1979-04-01,27,Education loan,College education,near,Owned,18,1485
307,Robin Jones,1972-04-30,2003-03-01,88771,Broadcast presenter,Divorced,Cherry LLC,research,21174,34854,9,EMI Running,Lake Christy,New Hampshire,67374,Rachelhaven,Oregon,9.86,True,Yes,hard,535,Reeves-Kent,Frank Ltd,2002-05-17,26,Education loan,Certification,war,Rented,20,4297
308,Aaron Bailey,1965-12-28,1960-12-14,45540,"Scientist, marine",Married,Patterson Group,image,23395,35867,364,EMI Running,Delgadoland,Michigan,56635,West David,Minnesota,16.53,False,No,wrong,453,Palmer-Salas,"Coffey, Durham and Long",2002-02-05,24,Education loan,College education,common,Owned,24,1011
309,Joseph Monroe,1970-03-05,1998-05-07,36794,"Research officer, trade union",Single,Strong Group,music,21468,15976,214,Fully Disbursed,East Michaelfurt,Ohio,64394,Kendratown,Virginia,10.59,True,Yes,body,398,Newton-Montoya,Mason PLC,1976-04-11,34,Education loan,School Education,reason,Owned,4,2977
310,Samantha Gross,1967-10-16,1984-11-07,145366,"Conservator, museum/gallery",Single,Graves-Campbell,movie,36944,10783,353,Fully Disbursed,Theresaton,Maryland,97531,Jefferyhaven,Alaska,9.56,True,No,benefit,863,Hayes-Edwards,Gonzalez LLC,1978-06-08,33,Education loan,College education,when,Rented,2,1453
311,Kristina Meza,1990-06-30,1975-12-06,136894,Forensic psychologist,Single,"Baker, Collier and Martinez",response,18498,8054,242,Fully Disbursed,Port Christopher,Alabama,92431,Kevinmouth,Connecticut,19.62,True,Yes,particularly,364,Fitzgerald LLC,"Marquez, Knight and Perry",2009-04-13,13,Education loan,College education,yeah,Rented,18,1407
312,Keith Butler,1959-07-24,1999-03-31,25143,Adult guidance worker,Single,"Dorsey, Reynolds and Floyd",price,42232,32638,88,Fully Disbursed,Knightville,Nebraska,82805,Thompsonfort,Arizona,5.75,True,Yes,less,821,Wilson Ltd,Clark-Webster,1980-04-22,35,Education loan,School Education,still,Owned,1,4641
313,Blake Hendricks,2006-05-30,1966-10-26,55185,Sales promotion account executive,Single,Mooney-Brady,short,48755,13584,350,EMI Running,New Kevinstad,North Dakota,37605,West Veronica,Alabama,19.34,False,No,magazine,601,Ramirez Ltd,Fletcher and Sons,1999-06-21,4,Education loan,School Education,interest,Owned,17,1576
314,Joseph Dunlap,2004-05-19,1984-04-13,46835,"Doctor, general practice",Divorced,"Barnes, Sanchez and Robinson",pattern,7364,5752,247,Fully Disbursed,Smithside,Pennsylvania,48840,South Jasonport,Indiana,10.79,True,No,green,322,Norris Ltd,Manning Group,1998-09-28,13,Education loan,Certification,hard,Owned,21,4333
315,Amber Flores,2003-11-19,1987-11-18,125093,Secretary/administrator,Married,"Pena, Reilly and Moreno",because,41528,22985,2,EMI Running,Russellmouth,Connecticut,53584,West Kaitlinfurt,Illinois,18.4,True,No,again,675,"Dawson, Buchanan and Carter",Schneider-Morales,1981-05-31,1,Education loan,School Education,discussion,Rented,4,4602
316,Amber Bradford,2003-07-14,1988-01-25,38370,Consulting civil engineer,Single,Small LLC,over,48063,26191,279,EMI Running,Kennethborough,Pennsylvania,04081,North Tamara,Oregon,18.41,True,Yes,easy,310,Bradshaw Inc,Bailey PLC,2005-02-05,4,Education loan,College education,but,Rented,21,1733
317,Nicole Patterson,2004-07-23,1978-03-11,157364,Public relations account executive,Married,Mitchell-Arias,why,30697,30718,129,Fully Disbursed,West Teresa,South Dakota,31913,New Angelaville,Nevada,8.86,True,No,already,704,"Duke, Smith and Graham",Sanchez-Hamilton,1995-11-03,38,Education loan,College education,series,Rented,25,3557
318,Mr. Nicholas Murphy DVM,1993-11-09,1992-08-20,152416,Mechanical engineer,Divorced,Davis-Parsons,approach,7007,21435,208,EMI Running,West Peterland,South Dakota,66800,Lake Amber,West Virginia,14.77,True,Yes,interview,787,Hess-Andrade,Williams-Williams,1977-06-29,13,Education loan,Certification,line,Rented,16,1590
319,Andre Mann,2006-06-26,1987-06-16,73298,Recycling officer,Single,Dennis-Travis,skill,15711,16091,163,Fully Disbursed,Hallland,New Mexico,25565,South Michael,Alabama,14.64,False,No,across,511,Smith-Jones,"Briggs, Perez and Fisher",1982-06-09,4,Education loan,College education,sell,Rented,2,1776
320,Jared Shaw DVM,1995-11-18,1994-12-23,55877,Special educational needs teacher,Married,"Ford, Sampson and Young",much,30106,21332,17,EMI Running,Crystalton,Utah,46599,West Carla,Rhode Island,12.88,False,No,page,608,"Garcia, Ramsey and Hamilton",Pineda and Sons,1972-06-04,22,Education loan,College education,should,Rented,24,2149
321,Joseph Carter,1997-05-29,1981-10-12,198626,Building control surveyor,Single,"Perkins, Wood and Perez",into,43624,24864,245,EMI Running,Amandamouth,Alaska,54456,Brianside,Oklahoma,15.2,True,No,goal,474,Walker-Brown,Fritz and Sons,2005-12-16,24,Education loan,Certification,yeah,Owned,7,1732
322,Jason Farrell,1967-10-10,1959-11-09,124607,Conference centre manager,Married,Davis-Williams,kid,49317,38666,255,EMI Running,Camposton,Hawaii,37690,Lake Emilymouth,Delaware,16.76,False,No,strategy,470,"Smith, Gregory and Petersen",Williams-Moore,1993-02-08,29,Education loan,School Education,produce,Owned,9,1072
323,Jenny Chapman,1998-11-12,1961-01-04,50950,Actuary,Married,Flores Group,may,44112,17490,180,Fully Disbursed,Julialand,Kentucky,51839,West Paul,Rhode Island,10.16,True,No,same,892,Sullivan LLC,Smith-Ryan,1978-08-31,31,Education loan,College education,every,Rented,4,4778
324,Anthony Smith,1976-12-24,1966-01-20,107980,Pension scheme manager,Married,Davis-Wolf,continue,24226,20484,157,Fully Disbursed,Port Bradleytown,Wyoming,35857,Samuelville,Alaska,11.28,True,Yes,parent,531,Shields LLC,Phelps PLC,1987-06-18,10,Education loan,College education,anyone,Owned,10,4830
325,Alyssa Shelton,1996-03-27,1982-10-12,154161,Insurance underwriter,Married,"Hunter, Hunter and Marsh",million,13311,9152,225,EMI Running,Williamston,Texas,88928,Dixonfurt,Montana,10.4,True,No,movement,860,"Stafford, Turner and Clay",Allen LLC,1997-01-17,35,Education loan,School Education,seem,Owned,30,4274
326,Matthew Manning,1977-09-18,1987-11-09,55609,"Editor, commissioning",Divorced,"Weeks, Campbell and Clark",result,8605,28628,140,EMI Running,Port Coreyburgh,Utah,15200,Flynnborough,Washington,10.16,True,Yes,black,602,Hammond PLC,Terry and Sons,1997-02-19,0,Education loan,Certification,upon,Owned,8,1170
327,Gary Carter,1964-03-23,1998-09-08,56539,Records manager,Divorced,Snyder-Grant,day,39164,37413,46,EMI Running,Thomasville,Wisconsin,50780,West Tracy,Nevada,13.38,False,Yes,gas,519,Fox-Grimes,"Figueroa, Martin and Mcclain",1985-10-18,12,Education loan,College education,deal,Owned,11,1488
328,Andrea Taylor,1980-08-27,1992-11-28,159479,"Editor, film/video",Single,Franklin LLC,usually,22892,34272,53,Fully Disbursed,Dixonfurt,South Dakota,52207,Port Melissa,Indiana,19.21,True,No,strategy,382,Ramirez-Garcia,Duncan PLC,2009-01-25,29,Education loan,Certification,into,Rented,13,4148
329,Scott Alvarado,2005-09-29,1988-10-05,52763,Television floor manager,Divorced,"Smith, Gonzalez and King",program,34771,20246,294,EMI Running,Ronaldbury,New Jersey,95715,Jacksonport,Oklahoma,14.8,True,No,food,546,"Keller, Henry and Ray",Dickerson-Wright,2024-01-04,5,Education loan,School Education,task,Rented,13,4738
330,Leah Keith,1980-02-02,1997-01-27,58009,Insurance risk surveyor,Single,"Willis, Beck and Simmons",recent,13405,25415,78,Fully Disbursed,South Robertview,Delaware,03253,Smithton,Kansas,12.01,True,No,those,374,"Miller, Hall and Horne","Conner, Arnold and Ruiz",1971-07-08,23,Education loan,College education,minute,Owned,11,2160
331,Danielle Matthews,1979-09-02,1978-03-07,103624,Field seismologist,Divorced,"Johnson, Craig and Thompson",significant,22407,27806,317,EMI Running,Oliverport,California,80439,Cassandraport,Florida,5.23,False,No,expect,372,"Fisher, Garrett and Mccormick",Montes Group,1976-07-11,10,Education loan,College education,method,Owned,10,1663
332,Joanna Howe,1989-03-24,1982-11-28,162441,"Education officer, museum",Married,Browning-Whitaker,represent,22509,8353,333,Fully Disbursed,West Dawn,Virginia,33345,North Stephaniestad,Louisiana,12.95,False,No,government,318,"Woods, Brown and Cole",Ramirez-Lopez,1984-06-13,39,Education loan,School Education,pay,Owned,8,3104
333,Gregory Miller,1975-12-19,2004-03-31,35286,Publishing rights manager,Divorced,"Hopkins, Gonzalez and Palmer",certainly,40752,8913,17,EMI Running,Lisamouth,Illinois,35471,South Ricky,Nevada,11.05,False,Yes,store,500,Davis Ltd,Howard-Ortiz,2007-11-18,5,Education loan,School Education,different,Rented,17,4001
334,Teresa Lucero,2003-05-30,1966-08-31,28746,Telecommunications researcher,Married,"Cooper, Brown and Rose",it,5570,18007,152,Fully Disbursed,South Shane,Hawaii,08221,New Jerry,New Jersey,10.67,False,No,find,326,Johnson Group,Johnson Ltd,1988-06-22,16,Education loan,Certification,language,Rented,15,2574
335,Caitlin Garcia,1966-10-01,1976-08-11,90250,Electrical engineer,Married,Gonzalez and Sons,by,34268,38113,92,Fully Disbursed,Claytonfort,South Carolina,11316,Dawsonmouth,Florida,5.65,False,Yes,reduce,453,Rodriguez-Morales,Powell-Tucker,2020-07-21,14,Education loan,College education,front,Owned,28,1965
336,Nathan Walters,1983-01-05,2004-01-07,59064,Database administrator,Single,Jordan-Nelson,Mr,23236,35720,237,Fully Disbursed,Allenville,Nevada,33579,East Dana,Virginia,17.23,False,No,born,618,Moody Ltd,Miller Group,2007-03-18,15,Education loan,School Education,administration,Rented,13,1844
337,Joseph Ballard III,1979-09-09,1963-01-09,104387,Higher education lecturer,Divorced,Wilson-Davis,writer,21215,37296,195,Fully Disbursed,New Julie,Kansas,98673,New Maryburgh,Arizona,14.4,False,Yes,those,485,"Murray, Kelly and Haynes","Harris, Jones and Davis",1989-03-01,4,Education loan,Certification,job,Owned,1,1682
338,Michelle Sanchez,2003-06-18,1980-11-17,47028,General practice doctor,Divorced,Koch Ltd,cold,35187,11943,356,EMI Running,Port Anthonyton,New York,46214,Lake Timothy,Delaware,13.5,True,Yes,section,717,Davila-Neal,"Brown, Roberts and Griffith",1993-10-08,39,Education loan,School Education,sort,Rented,21,3478
339,Nancy Berger,1963-11-01,1979-04-29,151915,"Teacher, primary school",Divorced,Jacobson Ltd,quite,21869,5672,125,Fully Disbursed,Ritastad,Missouri,17219,Bradyhaven,California,18.01,False,Yes,anyone,351,Anderson Group,Rojas-Melendez,1999-08-21,6,Education loan,Certification,upon,Rented,17,3899
340,Patricia Shaffer,1967-11-30,1963-09-07,126113,Contracting civil engineer,Divorced,"Combs, Martin and Miller",care,18395,18173,33,EMI Running,Pearsonview,New Jersey,72580,Natalieside,Utah,9.66,True,No,true,845,Goodman-Scott,Krause-Wright,1970-02-08,7,Education loan,College education,which,Rented,19,1296
341,Jacqueline Rivera,1964-01-07,1981-10-01,55446,Gaffer,Single,Garcia-Walter,mean,22871,38269,356,EMI Running,West Williambury,Oregon,61714,West Jessica,Hawaii,14.88,True,No,mean,602,Johnson-Kelly,Morales PLC,2012-07-04,8,Education loan,Certification,even,Rented,14,2636
342,Nicole Sanchez,2004-12-07,1973-09-18,86416,Radio producer,Divorced,Abbott Group,consumer,10890,6025,363,Fully Disbursed,East Danielburgh,Alabama,57182,West Thomasmouth,Louisiana,9.82,True,Yes,personal,806,Young-Boyd,"Evans, Bailey and White",1988-06-01,12,Education loan,College education,best,Rented,20,4330
343,Jay Valentine,1980-11-05,1962-06-23,102216,Glass blower/designer,Divorced,Rivera Inc,through,36354,11795,353,EMI Running,Clarkton,Texas,75993,Lake Dawn,Rhode Island,9.14,True,Yes,none,445,Silva Group,Long-Miller,1975-03-27,4,Education loan,School Education,strong,Owned,26,2244
344,Abigail Gardner,1994-06-11,1969-10-16,136691,Special educational needs teacher,Single,"Gonzalez, Spencer and Valdez",instead,11071,12856,134,Fully Disbursed,Jennahaven,South Dakota,05408,North Vanessaton,New Mexico,13.51,True,No,hour,393,"Davis, Morales and Avery","West, Reid and Peterson",2017-11-06,10,Education loan,Certification,thank,Owned,16,1103
345,Betty Bradford,1969-08-15,1988-08-05,149041,Dramatherapist,Divorced,Morris-Chapman,only,16722,22133,56,Fully Disbursed,South Valerie,Delaware,25321,Shannonfurt,Wisconsin,11.66,True,Yes,myself,429,"Kelly, Mueller and Jacobson","Erickson, Cohen and Key",2010-11-08,34,Education loan,Certification,answer,Owned,20,4222
346,Mark Hernandez,1999-01-14,1989-05-18,91370,Product manager,Divorced,"Rogers, Castillo and Davis",pattern,16911,14367,117,Fully Disbursed,South Aaron,Rhode Island,79673,South Elizabethport,California,10.38,True,Yes,production,773,"Dodson, White and Patel",Frederick-Ayala,2012-11-30,9,Education loan,Certification,yes,Rented,13,1024
347,Jill Anderson,1969-04-03,1976-07-15,88787,Physiotherapist,Divorced,"Peterson, Campbell and Smith",certainly,30010,10537,166,Fully Disbursed,Drakeborough,Wyoming,41774,Austinmouth,Idaho,14.32,True,Yes,safe,583,Perkins-Parker,Randolph-Carter,2007-03-01,9,Education loan,School Education,small,Rented,9,2134
348,Laura Wilkins,1960-08-16,2001-12-31,148256,Insurance risk surveyor,Married,Guzman-Smith,buy,35526,9198,9,Fully Disbursed,Aguirreside,Indiana,47651,New Connorberg,Maine,9.99,True,Yes,street,378,Jimenez PLC,"Potter, Jones and Holloway",1976-01-27,19,Education loan,School Education,oil,Rented,12,1970
349,Brandon Luna,1965-11-24,1999-07-12,178137,"Engineer, site",Divorced,"Grant, Williams and Hogan",might,47677,22813,206,EMI Running,East Scott,Rhode Island,30778,Stephenbury,Louisiana,12.22,True,Yes,carry,575,Williams-Williams,"Blanchard, Cortez and Cline",1989-03-02,39,Education loan,School Education,article,Rented,28,2963
350,Angela Warren,1998-03-24,2001-08-16,113029,"Exhibitions officer, museum/gallery",Divorced,"Richardson, Fuller and Harris",identify,43074,20603,240,EMI Running,Port Eric,West Virginia,39685,East Mark,Indiana,16.28,True,No,career,877,"Boyd, Allen and Martinez",Williamson Group,2021-07-08,36,Education loan,College education,past,Owned,7,1993
351,Kimberly Spencer,1996-03-15,2006-01-06,88825,Plant breeder/geneticist,Single,Rice LLC,yet,26241,13964,347,EMI Running,Cooperside,Vermont,17162,Melissaside,New Jersey,18.84,False,No,room,745,Whitehead-Wheeler,Lopez-Yang,1975-04-02,22,Education loan,School Education,answer,Owned,7,2945
352,Stacey Salas,1968-11-21,1999-12-29,186819,"Engineer, drilling",Married,Franklin-Ramos,daughter,39541,16179,230,EMI Running,West Brianland,Kentucky,17910,West Coreyfurt,Kansas,16.13,False,No,skin,446,Cobb and Sons,Moses PLC,1978-12-27,40,Education loan,College education,we,Rented,16,3964
353,Teresa Walker,2003-12-28,2004-02-14,51802,Regulatory affairs officer,Single,Shepard Group,house,36422,17899,100,Fully Disbursed,South Haleyton,Wyoming,49886,New Kathy,Mississippi,11.11,True,Yes,place,591,Brown and Sons,Stein Inc,2000-09-20,25,Education loan,Certification,after,Owned,18,4524
354,Michelle Schmitt,2004-08-14,1967-09-21,107176,Fashion designer,Single,Watkins-Ray,office,29373,21923,136,Fully Disbursed,Frazierchester,Florida,71696,West Cheryl,Connecticut,6.78,False,Yes,second,500,"Robinson, Hernandez and Hernandez","Johnson, Gates and Fletcher",2002-10-11,27,Education loan,School Education,in,Owned,27,3475
355,Joshua Black,1985-11-20,1985-03-31,45924,Advertising art director,Married,Cook LLC,condition,40990,31511,269,Fully Disbursed,East Ronaldville,Oregon,76171,West Michael,Kentucky,11.06,True,No,only,371,Edwards-Clark,"Hughes, Johnson and Le",2012-07-23,5,Education loan,Certification,say,Owned,19,1832
356,Jose Liu,1995-11-10,1974-04-26,73615,Early years teacher,Single,Jenkins LLC,management,5217,31186,142,EMI Running,New Stevenberg,North Carolina,91517,Josephfort,New York,9.07,False,Yes,yard,511,"Drake, Gallagher and Lamb","Lopez, Thompson and Brennan",2003-05-20,33,Education loan,School Education,visit,Rented,6,2880
357,Beth Lee,1986-03-18,1989-06-07,128721,Lawyer,Divorced,Cooper and Sons,upon,36648,37494,173,EMI Running,South Amanda,Louisiana,70134,Lake Williamtown,Alabama,10.82,True,Yes,employee,326,Dixon-Arnold,Lin LLC,1970-03-21,31,Education loan,College education,large,Owned,2,4828
358,Shawn Callahan,1963-02-01,1992-03-16,74632,Claims inspector/assessor,Single,Murphy LLC,per,21359,36205,316,EMI Running,Lake Jamesborough,Virginia,86478,Lewischester,New York,5.07,False,Yes,crime,707,"Morgan, Barnes and Hughes",Peters LLC,2004-11-05,14,Education loan,College education,party,Owned,29,2467
359,Michelle Martin,1969-12-09,1964-08-19,101832,Orthoptist,Single,Calderon-Stewart,majority,37069,26334,324,Fully Disbursed,Clarketown,Hawaii,89484,Shawnfurt,New York,11.11,True,Yes,mission,633,Howell-Smith,Reed-Yang,1976-08-23,19,Education loan,College education,memory,Rented,3,1839
360,Bobby Ramirez,1990-11-03,1978-07-11,35929,"Engineer, electrical",Divorced,"Davidson, Mcgee and Maddox",wait,14470,7837,175,EMI Running,South Susanville,Illinois,09491,Port Angieland,Vermont,12.88,True,Yes,hit,815,"Caldwell, Davis and Wagner","Rice, Moore and Randall",2001-07-25,28,Education loan,College education,want,Rented,30,4110
361,Susan Miller,1962-03-23,1972-06-04,65629,"Engineer, communications",Married,Pittman-Walker,take,12803,30390,335,EMI Running,Port Mitchellhaven,Minnesota,87750,Geraldfurt,Washington,17.59,False,No,research,595,Richardson and Sons,West-Lopez,1996-08-21,10,Education loan,College education,base,Owned,13,2110
362,Johnathan Morris,1980-01-27,1971-01-18,94335,Agricultural engineer,Single,Lawrence-Grant,too,16597,35072,95,EMI Running,Kingville,Minnesota,52710,Carolhaven,New Jersey,11.68,True,No,either,594,"Becker, Martinez and Nunez",Anderson LLC,1975-06-15,19,Education loan,School Education,police,Rented,15,4944
363,Mercedes Cruz,1998-08-25,1989-06-16,31738,"Engineer, water",Single,Moss Group,off,42957,29232,24,Fully Disbursed,North Michaelfort,Mississippi,71004,Lake Diana,Minnesota,11.18,False,Yes,decade,839,"Pitts, Munoz and Zamora",Pope-Richards,2019-01-06,11,Education loan,College education,remember,Rented,3,3487
364,Carla Anderson,1971-09-10,2005-01-29,107873,General practice doctor,Divorced,Walters PLC,them,17816,9568,213,Fully Disbursed,Jamesbury,Colorado,54795,Phylliston,Connecticut,5.36,True,Yes,recent,330,Smith Group,Vasquez and Sons,1995-02-19,28,Education loan,College education,purpose,Rented,25,3271
365,Dr. Mike Ramos,1985-05-05,2005-10-14,49629,Medical illustrator,Divorced,"Torres, Hamilton and Grant",success,11622,25037,281,EMI Running,Bethville,Tennessee,18771,East Alison,Arizona,12.0,True,Yes,today,520,"Jones, Boyle and Torres",Gonzalez Inc,2024-06-03,17,Education loan,School Education,current,Rented,7,4970
366,Jennifer Kennedy,1978-08-02,1960-03-08,175493,Games developer,Single,Black PLC,information,12455,22766,173,Fully Disbursed,Sanchezstad,New Mexico,25268,Janeville,Nebraska,5.21,False,Yes,statement,793,White-Garcia,Weber-Martin,2009-04-22,9,Education loan,School Education,maybe,Rented,4,4080
367,Meagan Washington,2003-06-15,1976-06-26,78494,Armed forces operational officer,Divorced,"Jones, Hill and Richards",statement,22766,20418,360,Fully Disbursed,Shaneburgh,New Hampshire,48485,New Laurie,Nebraska,14.59,False,No,game,846,Clark LLC,Flores Inc,1991-10-30,9,Education loan,Certification,understand,Owned,29,2603
368,Jerry Adams,1972-05-17,2006-01-09,154918,Actor,Single,"King, Cole and Newman",probably,47257,4740,284,EMI Running,Lewismouth,New Jersey,81078,Collinsstad,Iowa,19.32,True,No,win,482,Scott-Smith,"Barnes, Stevens and Serrano",1972-04-24,37,Education loan,School Education,newspaper,Owned,8,1896
369,George Nguyen,1964-04-03,1989-06-21,167029,Patent attorney,Single,Moore LLC,its,44966,30211,273,Fully Disbursed,Anthonyhaven,New Hampshire,41396,Edwardchester,Delaware,7.61,False,Yes,draw,890,"Nguyen, Bernard and Jones",Nguyen and Sons,1981-11-20,39,Education loan,College education,street,Rented,1,2774
